测站点,观测方向,测回数,半测回标志,水平方向,,,垂直方向,,,距离,棱镜高,测站高,,
,,3,L,359,56,41.40000000026248,93,9,32.80000000001792,23.208215,1.522,1.474 
,,,L,359,57,29.799999999959255,93,9,35.10000000006016,23.208215,1.522,1.474 
,,,R,179,57,27.899999999913234,266,50,23.799999999937427,23.207715,1.522,1.474 
,,,R,179,57,27.200000000009368,266,50,25.30000000003838,23.208115,1.522,1.474 
,,4,L,359,57,29.59999999998672,93,9,31.700000000015507,23.208615,1.522,1.474 
,,,L,359,57,22.899999999985994,93,9,11.000000000044565,23.208415,1.522,1.474 
,,,R,179,56,52.39999999997963,266,50,27.499999999940883,23.208115,1.522,1.474 
,,,R,179,57,32.39999999990914,266,50,25.39999999992233,23.208235,1.522,1.474 
,3,1,L,42,39,34.60000000000093,91,20,31.39999999996803,43.128456,1.595,1.474 
,,,R,222,40,49.39999999993461,268,39,15.999999999971806,43.128556,1.595,1.474 
,,2,L,42,37,51.999999999997044,91,20,34.99999999998522,43.128456,1.595,1.474 
,,,R,222,38,25.499999999949523,268,39,13.599999999892134,43.128156,1.595,1.474 
,,3,L,42,37,37.49999999999318,91,20,23.499999999978627,43.128756,1.595,1.474 
,,,R,222,37,39.200000000066666,268,39,22.399999999911415,43.128156,1.595,1.474 
,,4,L,42,37,47.800000000011096,91,20,25.499999999959755,43.128556,1.595,1.474 
,,,R,222,37,51.90000000006194,268,39,35.79999999991287,43.128294,1.595,1.474 
,4,1,L,63,56,11.499999999994657,91,55,38.80000000000905,28.280227,1.498,1.474 
,,,R,243,57,49.60000000000264,268,4,26.4000000000442,28.280127,1.498,1.474 
,,2,L,63,54,46.30000000000564,91,55,41.20000000003756,28.280327,1.498,1.474 
,,,R,243,55,7.799999999917873,268,4,22.799999999924694,28.280227,1.498,1.474 
,,3,L,63,54,35.00000000002274,91,55,39.500000000015234,28.280227,1.498,1.474 
,,,R,243,54,29.000000000130512,268,4,27.399999999906868,28.280427,1.498,1.474 
,,4,L,63,54,35.599999999991496,91,55,39.90000000001146,28.280627,1.498,1.474 
