测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
1,4,Sdist,28.280327,1.474,1.498,1,4
1,4,Vertical,1.6044288214808278,1.474,1.498,1,4
1,4,Sdist,28.280227,1.474,1.498,1,4
1,4,Hz,1.115435076812765,1.474,1.498,1,4
1,4,Vertical,1.604439972195493,1.474,1.498,1,4
1,4,Sdist,28.280227,1.474,1.498,1,4
1,4,Hz,1.115405987991899,1.474,1.498,1,4
1,4,Vertical,1.604406520051497,1.474,1.498,1,4
1,4,Sdist,28.280427,1.474,1.498,1,4
1,4,Hz,1.1154379856948515,1.474,1.498,1,4
1,4,Vertical,1.6044419114502173,1.474,1.498,1,4
1,4,Sdist,28.280627,1.474,1.498,1,4
1,4,Hz,1.1154743467209354,1.474,1.498,1,4
1,4,Vertical,1.6044123378156687,1.474,1.498,1,4
1,4,Sdist,28.280152,1.474,1.498,1,4
1,5,Hz,1.629431632643008,1.474,1.463,1,0
1,5,Vertical,1.586037414487937,1.474,1.463,1,0
1,5,Sdist,14.994832,1.474,1.463,1,0
1,5,Hz,1.6294432681713555,1.474,1.463,1,0
1,5,Vertical,1.5860994706391187,1.474,1.463,1,0
1,5,Sdist,14.994632,1.474,1.463,1,0
1,5,Hz,1.628983664801663,1.474,1.463,1,0
1,5,Vertical,1.5860408081837047,1.474,1.463,1,0
1,5,Sdist,14.994932,1.474,1.463,1,0
1,5,Hz,1.6289696052049107,1.474,1.463,1,0
1,5,Vertical,1.5860243245185472,1.474,1.463,1,0
1,5,Sdist,14.994532,1.474,1.463,1,0
1,5,Hz,1.6288813691149493,1.474,1.463,1,0
1,5,Vertical,1.585970995013625,1.474,1.463,1,0
1,5,Sdist,14.995332,1.474,1.463,1,0
1,5,Hz,1.6288896109475282,1.474,1.463,1,0
1,5,Vertical,1.586002992716578,1.474,1.463,1,0
1,5,Sdist,14.994732,1.474,1.463,1,0
1,5,Vertical,1.5860034775302594,1.474,1.463,1,0
1,5,Sdist,14.995232,1.474,1.463,1,0
1,5,Vertical,1.5860936528749452,1.474,1.463,1,0
1,5,Sdist,14.995246,1.474,1.463,1,0
2,3,Vertical,1.5625191028173135,1.546,1.595,2,3
2,3,Sdist,30.444682,1.546,1.595,2,3
2,3,Hz,6.283129553606259,1.546,1.595,2,3
2,3,Vertical,1.562529768718298,1.546,1.595,2,3
2,3,Sdist,30.445382,1.546,1.595,2,3
2,3,Hz,6.28317415646492,1.546,1.595,2,3
2,3,Vertical,1.5625384953645582,1.546,1.595,2,3
2,3,Sdist,30.444682,1.546,1.595,2,3
2,3,Hz,6.2830951318349,1.546,1.595,2,3
2,3,Vertical,1.5625443131287318,1.546,1.595,2,3
2,3,Sdist,30.444582,1.546,1.595,2,3
2,3,Hz,6.283126644724173,1.546,1.595,2,3
2,3,Vertical,1.5625724323222354,1.546,1.595,2,3
2,3,Sdist,30.444882,1.546,1.595,2,3
2,3,Hz,6.283134886556751,1.546,1.595,2,3
2,3,Vertical,1.5625593423528454,1.546,1.595,2,3
2,3,Sdist,30.444682,1.546,1.595,2,3
2,3,Hz,6.283158642427127,1.546,1.595,2,3
2,3,Vertical,1.5625511005202681,1.546,1.595,2,3
2,3,Sdist,30.444482,1.546,1.595,2,3
2,3,Hz,6.283119857332636,1.546,1.595,2,3
2,3,Vertical,1.5625501308929044,1.546,1.595,2,3
2,3,Sdist,30.444582,1.546,1.595,2,3
2,3,Hz,6.283086890002322,1.546,1.595,2,3
2,3,Sdist,30.444682,1.546,1.595,2,3
2,3,Hz,6.283012228695431,1.546,1.595,2,3
2,3,Sdist,30.445382,1.546,1.595,2,3
2,3,Hz,6.283115494009507,1.546,1.595,2,3
2,3,Sdist,30.444482,1.546,1.595,2,3
2,3,Hz,6.28307283040557,1.546,1.595,2,3
2,3,Sdist,30.444782,1.546,1.595,2,3
2,3,Vertical,1.5624934076922148,1.546,1.595,2,3
2,3,Sdist,30.444982,1.546,1.595,2,3
2,3,Hz,6.283104828108522,1.546,1.595,2,3
2,3,Vertical,1.5625321927867037,1.546,1.595,2,3
2,3,Sdist,30.444982,1.546,1.595,2,3
2,3,Hz,6.28306458857299,1.546,1.595,2,3
2,3,Vertical,1.5625336472277471,1.546,1.595,2,3
2,3,Sdist,30.444682,1.546,1.595,2,3
2,3,Hz,6.283115009195825,1.546,1.595,2,3
2,3,Vertical,1.5625312231593416,1.546,1.595,2,3
2,3,Sdist,30.444782,1.546,1.595,2,3
2,4,Hz,0.6845990965169214,1.546,1.498,2,4
2,4,Hz,0.684641275307178,1.546,1.498,2,4
2,4,Hz,0.6845792191559958,1.546,1.498,2,4
2,4,Vertical,1.5594865932419733,1.546,1.498,2,4
2,4,Sdist,27.582908,1.546,1.498,2,4
2,4,Hz,0.6846087927905433,1.546,1.498,2,4
2,4,Vertical,1.5595190757586082,1.546,1.498,2,4
2,4,Sdist,27.582308,1.546,1.498,2,4
2,4,Hz,0.6845375251794205,1.546,1.498,2,4
2,4,Vertical,1.5596179777495538,1.546,1.498,2,4
2,4,Sdist,27.582808,1.546,1.498,2,4
2,4,Hz,0.684557887354027,1.546,1.498,2,4
2,4,Vertical,1.5595976155749467,1.546,1.498,2,4
2,4,Sdist,27.582608,1.546,1.498,2,4
2,4,Hz,0.6845603114224326,1.546,1.498,2,4
2,4,Sdist,27.583208,1.546,1.498,2,4
2,4,Hz,0.6845554632856214,1.546,1.498,2,4
2,4,Sdist,27.582808,1.546,1.498,2,4
2,5,Hz,1.297838952125011,1.546,1.498,2,0
2,5,Vertical,1.5344037878224095,1.546,1.498,2,0
2,5,Sdist,28.352328,1.546,1.498,2,0
2,5,Hz,1.297908765295091,1.546,1.463,2,0
2,5,Vertical,1.5343630634731964,1.546,1.463,2,0
2,5,Sdist,28.352228,1.546,1.463,2,0
2,5,Hz,1.2978549509764876,1.546,1.463,2,0
2,5,Vertical,1.534393606735106,1.546,1.463,2,0
2,5,Sdist,28.352428,1.546,1.463,2,0
2,5,Hz,1.2978903423752088,1.546,1.463,2,0
2,5,Vertical,1.5343679116100075,1.546,1.463,2,0
2,5,Sdist,28.352028,1.546,1.463,2,0
2,5,Hz,1.2978011366578848,1.546,1.463,2,0
2,5,Vertical,1.5343950611761494,1.546,1.463,2,0
2,5,Sdist,28.352228,1.546,1.463,2,0
2,5,Hz,1.297841861007098,1.546,1.463,2,0
2,5,Vertical,1.5344236651833345,1.546,1.463,2,0
2,5,Sdist,28.352328,1.546,1.463,2,0
2,5,Hz,1.2978501028396767,1.546,1.463,2,0
2,5,Vertical,1.5343834256478026,1.546,1.463,2,0
2,5,Sdist,28.352428,1.546,1.463,2,0
2,5,Hz,1.2979010082761935,1.546,1.463,2,0
2,5,Vertical,1.5344057270771332,1.546,1.463,2,0
2,5,Sdist,28.352428,1.546,1.463,2,0
2,1,Hz,1.8543895440009632,1.546,1.462,2,1
2,1,Vertical,1.5172738660277663,1.546,1.462,2,1
2,1,Sdist,23.206296,1.546,1.462,2,1
2,1,Hz,1.8544055428524393,1.546,1.462,2,1
2,1,Vertical,1.5172375050016829,1.546,1.462,2,1
2,1,Sdist,23.206196,1.546,1.462,2,1
2,1,Hz,1.8543977858335419,1.546,1.462,2,1
2,1,Vertical,1.5172064769260918,1.546,1.462,2,1
2,1,Sdist,23.206196,1.546,1.462,2,1
2,1,Hz,1.8543764540315735,1.546,1.462,2,1
2,1,Vertical,1.5172505949710735,1.546,1.462,2,1
2,1,Sdist,23.206096,1.546,1.462,2,1
2,1,Hz,1.8543076104888554,1.546,1.462,2,1
2,1,Vertical,1.517281138232983,1.546,1.462,2,1
2,1,Sdist,23.206296,1.546,1.462,2,1
2,1,Hz,1.854394392137774,1.546,1.462,2,1
2,1,Vertical,1.5172515645984346,1.546,1.462,2,1
2,1,Sdist,23.205996,1.546,1.462,2,1
2,1,Hz,1.8543740299631675,1.546,1.462,2,1
2,1,Vertical,1.5172229605912495,1.546,1.462,2,1
2,1,Sdist,23.206696,1.546,1.462,2,1
2,1,Hz,1.8543735451494872,1.546,1.462,2,1
2,1,Vertical,1.5172821078603453,1.546,1.462,2,1
2,1,Sdist,23.206196,1.546,1.462,2,1
3,4,Vertical,1.5691086903709544,1.605,1.498,3,4
3,4,Sdist,19.661322,1.605,1.498,3,4
3,4,Hz,6.283142643575649,1.605,1.498,3,4
3,4,Vertical,1.5692163190081607,1.605,1.498,3,4
3,4,Sdist,19.661522,1.605,1.498,3,4
3,4,Hz,6.283152339849271,1.605,1.498,3,4
3,4,Vertical,1.5691770490999906,1.605,1.498,3,4
3,4,Sdist,19.661122,1.605,1.498,3,4
3,4,Hz,6.283181913483819,1.605,1.498,3,4
3,4,Vertical,1.5692391052511736,1.605,1.498,3,4
3,4,Sdist,19.661522,1.605,1.498,3,4
3,4,Vertical,1.5691911086967432,1.605,1.498,3,4
3,4,Sdist,19.661722,1.605,1.498,3,4
3,4,Vertical,1.5691717161494987,1.605,1.498,3,4
3,4,Sdist,19.661422,1.605,1.498,3,4
3,4,Vertical,1.569176079472629,1.605,1.498,3,4
3,4,Sdist,19.661522,1.605,1.498,3,4
3,4,Vertical,1.569179957982078,1.605,1.498,3,4
3,4,Sdist,19.661522,1.605,1.498,3,4
3,4,Hz,6.2807651172834875,1.605,1.498,3,4
3,4,Vertical,1.569189169442019,1.605,1.498,3,4
3,4,Sdist,19.661722,1.605,1.498,3,4
3,4,Hz,6.280720999238508,1.605,1.498,3,4
3,4,Vertical,1.569189169442019,1.605,1.498,3,4
3,4,Sdist,19.661622,1.605,1.498,3,4
3,4,Hz,6.2807903275949055,1.605,1.498,3,4
3,4,Vertical,1.5691237195950691,1.605,1.498,3,4
3,4,Sdist,19.661322,1.605,1.498,3,4
3,4,Hz,6.280719059983782,1.605,1.498,3,4
3,4,Vertical,1.5691794731683961,1.605,1.498,3,4
3,4,Sdist,19.661039,1.605,1.498,3,4
3,4,Hz,6.28075736026459,1.605,1.498,3,4
3,4,Vertical,1.569155232484341,1.605,1.498,3,4
3,4,Sdist,19.661539,1.605,1.498,3,4
3,4,Hz,6.2805915539856505,1.605,1.498,3,4
3,4,Vertical,1.5692628611215471,1.605,1.498,3,4
3,4,Sdist,19.661339,1.605,1.498,3,4
3,4,Hz,6.280716151101695,1.605,1.498,3,4
3,4,Vertical,1.5690873585689857,1.605,1.498,3,4
3,4,Sdist,19.661539,1.605,1.498,3,4
3,4,Hz,6.280646337931616,1.605,1.498,3,4
3,4,Vertical,1.569228439350188,1.605,1.498,3,4
3,4,Sdist,19.661439,1.605,1.498,3,4
3,5,Hz,0.2163165923058583,1.605,1.463,3,0
3,5,Vertical,1.549589121942122,1.605,1.463,3,0
3,5,Sdist,35.572244,1.605,1.463,3,0
3,5,Hz,0.21639028398538684,1.605,1.463,3,0
3,5,Vertical,1.5495842738053112,1.605,1.463,3,0
3,5,Sdist,35.571844,1.605,1.463,3,0
3,5,Vertical,1.5495852434326731,1.605,1.463,3,0
3,5,Sdist,35.572044,1.605,1.463,3,0
3,5,Vertical,1.5496346944281463,1.605,1.463,3,0
3,5,Sdist,35.571944,1.605,1.463,3,0
3,5,Hz,0.21393858120001602,1.605,1.463,3,0
3,5,Vertical,1.5495939700789332,1.605,1.463,3,0
3,5,Sdist,35.571944,1.605,1.463,3,0
3,5,Hz,0.21395845856094156,1.605,1.463,3,0
3,5,Vertical,1.5495925156378902,1.605,1.463,3,0
3,5,Sdist,35.571775,1.605,1.463,3,0
3,5,Vertical,1.5496361488691897,1.605,1.463,3,0
3,5,Sdist,35.571875,1.605,1.463,3,0
3,5,Vertical,1.5496676617584617,1.605,1.463,3,0
3,5,Sdist,35.571875,1.605,1.463,3,0
3,1,Hz,0.5487101850250483,1.605,1.462,3,1
3,1,Vertical,1.5484144183927937,1.605,1.462,3,1
3,1,Sdist,43.129445,1.605,1.462,3,1
3,1,Hz,0.5487567271384348,1.605,1.462,3,1
3,1,Vertical,1.5484444768410226,1.605,1.462,3,1
3,1,Sdist,43.129545,1.605,1.462,3,1
3,1,Vertical,1.5484304172442704,1.605,1.462,3,1
3,1,Sdist,43.129445,1.605,1.462,3,1
3,1,Vertical,1.5485007152280312,1.605,1.462,3,1
3,1,Sdist,43.129645,1.605,1.462,3,1
3,1,Hz,0.5463166598814106,1.605,1.462,3,1
3,1,Vertical,1.5484488401641525,1.605,1.462,3,1
3,1,Sdist,43.129045,1.605,1.462,3,1
3,1,Hz,0.5463132661856429,1.605,1.462,3,1
3,1,Vertical,1.5484929582091338,1.605,1.462,3,1
3,1,Sdist,43.129682,1.605,1.462,3,1
3,1,Hz,0.5462856318058197,1.605,1.462,3,1
3,1,Vertical,1.548486655631279,1.605,1.462,3,1
3,1,Sdist,43.129582,1.605,1.462,3,1
3,1,Hz,0.5462337567419411,1.605,1.462,3,1
3,1,Vertical,1.5484357501947628,1.605,1.462,3,1
3,1,Sdist,43.129682,1.605,1.462,3,1
3,2,Hz,1.0909248363505912,1.605,1.527,3,2
3,2,Vertical,1.5807849430667962,1.605,1.527,3,2
3,2,Sdist,30.445108,1.605,1.527,3,2
3,2,Hz,1.0908676283362206,1.605,1.527,3,2
3,2,Vertical,1.5807713682837248,1.605,1.527,3,2
3,2,Sdist,30.445108,1.605,1.527,3,2
3,2,Vertical,1.5808280914844153,1.605,1.527,3,2
3,2,Sdist,30.444908,1.605,1.527,3,2
3,2,Vertical,1.5807534301775235,1.605,1.527,3,2
3,2,Sdist,30.444908,1.605,1.527,3,2
3,2,Hz,1.0884653765463226,1.605,1.527,3,2
3,2,Vertical,1.5807543998048865,1.605,1.527,3,2
3,2,Sdist,30.445308,1.605,1.527,3,2
3,2,Hz,1.0885177364238823,1.605,1.527,3,2
3,2,Vertical,1.5807708834700431,1.605,1.527,3,2
3,2,Sdist,30.445034,1.605,1.527,3,2
3,2,Hz,1.0884464688127593,1.605,1.527,3,2
3,2,Vertical,1.5807796101163045,1.605,1.527,3,2
3,2,Sdist,30.445034,1.605,1.527,3,2
3,2,Hz,1.0884430751169916,1.605,1.527,3,2
3,2,Vertical,1.5807839734394347,1.605,1.527,3,2
3,2,Sdist,30.445034,1.605,1.527,3,2
4,5,Hz,3.1415708369741426,1.543,1.463,4,0
4,5,Vertical,1.5296511593064925,1.543,1.463,4,0
4,5,Sdist,16.905449,1.543,1.463,4,0
4,5,Hz,3.1415674432783756,1.543,1.463,4,0
4,5,Vertical,1.5296652189032451,1.543,1.463,4,0
4,5,Sdist,16.905249,1.543,1.463,4,0
4,5,Hz,3.141596532099242,1.543,1.463,4,0
4,5,Vertical,1.5296530985612158,1.543,1.463,4,0
4,5,Sdist,16.905263,1.543,1.463,4,0
4,5,Hz,3.141581018061447,1.543,1.595,4,0
4,5,Vertical,1.5297073976935005,1.543,1.595,4,0
4,5,Sdist,16.904963,1.543,1.595,4,0
4,5,Hz,3.1415650192099696,1.543,1.463,4,0
4,5,Vertical,1.5296763696179103,1.543,1.463,4,0
4,5,Sdist,16.905149,1.543,1.463,4,0
4,5,Hz,3.1415771395519974,1.543,1.463,4,0
4,5,Vertical,1.5296501896791306,1.543,1.463,4,0
4,5,Sdist,16.905349,1.543,1.463,4,0
4,5,Hz,3.141605743559183,1.543,1.463,4,0
4,5,Vertical,1.5296865507052129,1.543,1.463,4,0
4,5,Sdist,16.905149,1.543,1.463,4,0
4,5,Hz,3.141600410608691,1.543,1.463,4,0
4,5,Vertical,1.5297044888114133,1.543,1.463,4,0
4,5,Sdist,16.905149,1.543,1.463,4,0
4,5,Hz,3.1415713217878243,1.543,1.463,4,0
4,5,Vertical,1.529780604559349,1.543,1.463,4,0
4,5,Sdist,16.905149,1.543,1.463,4,0
4,5,Hz,3.141604773931821,1.543,1.463,4,0
4,5,Vertical,1.5296404934055081,1.543,1.463,4,0
4,5,Sdist,16.905134,1.543,1.463,4,0
4,5,Hz,3.1416023498634154,1.543,1.463,4,0
4,5,Vertical,1.529656007443303,1.543,1.463,4,0
4,5,Sdist,16.904734,1.543,1.463,4,0
4,5,Hz,3.1415781091793598,1.543,1.463,4,0
4,5,Vertical,1.5296943077241103,1.543,1.463,4,0
4,5,Sdist,16.904834,1.543,1.463,4,0
4,5,Hz,3.141522840419713,1.543,1.463,4,0
4,5,Vertical,1.5296715214810992,1.543,1.463,4,0
4,5,Sdist,16.904934,1.543,1.463,4,0
4,5,Hz,3.1414491487401848,1.543,1.463,4,0
4,5,Vertical,1.5296254641813938,1.543,1.463,4,0
4,5,Sdist,16.905034,1.543,1.463,4,0
4,5,Hz,3.1415446570353636,1.543,1.463,4,0
4,5,Vertical,1.529683157009445,1.543,1.463,4,0
4,5,Sdist,16.904734,1.543,1.463,4,0
4,5,Hz,3.1414030914404805,1.543,1.463,4,0
4,5,Vertical,1.5296429174739128,1.543,1.463,4,0
4,5,Sdist,16.904719,1.543,1.463,4,0
4,1,Hz,3.5926729987677275,1.543,1.462,4,1
4,1,Vertical,1.5387981390279863,1.543,1.462,4,1
4,1,Sdist,28.280551,1.543,1.462,4,1
4,1,Hz,3.5926914216876096,1.543,1.462,4,1
4,1,Vertical,1.5387588691198157,1.543,1.462,4,1
4,1,Sdist,28.280375,1.543,1.462,4,1
4,1,Hz,3.5926986938928263,1.543,1.462,4,1
4,1,Vertical,1.538797169400624,1.543,1.462,4,1
4,1,Sdist,28.280651,1.543,1.462,4,1
4,1,Hz,3.5927428119378075,1.543,1.462,4,1
4,1,Vertical,1.5387714742755252,1.543,1.462,4,1
4,1,Sdist,28.280351,1.543,1.462,4,1
4,1,Hz,3.592681240600307,1.543,1.462,4,1
4,1,Vertical,1.5387549906103675,1.543,1.462,4,1
4,1,Sdist,28.280551,1.543,1.462,4,1
4,1,Hz,3.5927098446074925,1.543,1.462,4,1
4,1,Vertical,1.5386972977823152,1.543,1.462,4,1
4,1,Sdist,28.280126,1.543,1.462,4,1
4,1,Hz,3.592557128297943,1.543,1.462,4,1
4,1,Sdist,28.280326,1.543,1.462,4,1
4,1,Hz,3.592608033734459,1.543,1.462,4,1
4,1,Sdist,28.280302,1.543,1.462,4,1
4,2,Hz,4.448110255420346,1.543,1.527,4,2
4,2,Vertical,1.583956594168615,1.543,1.527,4,2
4,2,Sdist,27.583632,1.543,1.527,4,2
