        p1, 0.2865000069
         9,          3, 0.0000011075, 0.0000033225        
          ,       p1-1, 0.0000000000, 00003.3161354993, 00004.7142497705, 43.3787250201,    0.29000, 2024- 4-18- 9-59-14,          0,           ,          2,          3
          ,         p4, 0.0000000000, 00005.0255349161, 00004.7115195039, 69.4518001642,    0.28900, 2024- 4-18- 9-59-23,          0,           ,          2,          3
          ,         p3, 0.0000000000, 00004.7861832413, 00004.7149896092, 51.7773492254,    0.28900, 2024- 4-18- 9-59-30,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00003.3161323568, 00004.7142487500, 43.3789250206,    0.29000, 2024- 4-18- 9-59-39,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00000.1745452422, 00001.5689450385, 43.3788250204,    0.29000, 2024- 4-18- 9-59-49,          0,           ,          1,          3
          ,         p3, 0.0000000000, 00001.6445987415, 00001.5682055071, 51.7772492251,    0.28900, 2024- 4-18- 9-59-58,          0,           ,          1,          3
          ,         p4, 0.0000000000, 00001.8839412368, 00001.5716721861, 69.4518001642,    0.28900, 2024- 4-18-10- 0- 5,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00000.1745486419, 00001.5689368408, 43.3789250206,    0.29000, 2024- 4-18-10- 0-14,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00003.3161355018, 00004.7142495390, 43.3788250204,    0.29000, 2024- 4-18-10- 0-24,          0,           ,          2,          3
          ,         p4, 0.0000000000, 00005.0255338497, 00004.7115185097, 69.4517001639,    0.28900, 2024- 4-18-10- 0-33,          0,           ,          2,          3
          ,         p3, 0.0000000000, 00004.7861835380, 00004.7149957296, 51.7772492251,    0.28900, 2024- 4-18-10- 0-40,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00003.3161371144, 00004.7142489474, 43.3788250204,    0.29000, 2024- 4-18-10- 0-49,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00000.1745367972, 00001.5689420563, 43.3788250204,    0.29000, 2024- 4-18-10- 0-60,          0,           ,          1,          3
          ,         p3, 0.0000000000, 00001.6445927337, 00001.5681829556, 51.7772492251,    0.28900, 2024- 4-18-10- 1- 8,          0,           ,          1,          3
          ,         p4, 0.0000000000, 00001.8839482910, 00001.5716741661, 69.4518001642,    0.28900, 2024- 4-18-10- 1-16,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00000.1745442963, 00001.5689412040, 43.3787250201,    0.29000, 2024- 4-18-10- 1-25,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00003.3161364529, 00004.7142435796, 43.3788250204,    0.29000, 2024- 4-18-10- 1-35,          0,           ,          2,          3
          ,         p4, 0.0000000000, 00005.0255413427, 00004.7115195622, 69.4518001642,    0.28900, 2024- 4-18-10- 1-44,          0,           ,          2,          3
          ,         p3, 0.0000000000, 00004.7861960771, 00004.7149812982, 51.7772492251,    0.28900, 2024- 4-18-10- 1-52,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00003.3161376150, 00004.7142447984, 43.3789250206,    0.29000, 2024- 4-18-10- 2- 1,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00000.1745482880, 00001.5689450822, 43.3788250204,    0.29000, 2024- 4-18-10- 2-11,          0,           ,          1,          3
          ,         p3, 0.0000000000, 00001.6446000498, 00001.5682042559, 51.7772492251,    0.28900, 2024- 4-18-10- 2-20,          0,           ,          1,          3
          ,         p4, 0.0000000000, 00001.8839467590, 00001.5716728161, 69.4518001642,    0.28900, 2024- 4-18-10- 2-27,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00000.1745509127, 00001.5689404151, 43.3789250206,    0.29000, 2024- 4-18-10- 2-37,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00003.3161442918, 00004.7142415011, 43.3787250201,    0.29000, 2024- 4-18-10- 2-47,          0,           ,          2,          3
