测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
p2,p3,Vertical,1.568217967,0.288500011,0.289,1,2
p2,p3,Sdist,51.77724923,0.288500011,0.289,1,2
p2,p3,Hz,1.644604751,0.288500011,0.289,1,2
p2,p3,Vertical,1.568206294,0.288500011,0.289,1,2
p2,p3,Sdist,51.77734923,0.288500011,0.289,1,2
p2,p3,Hz,1.644595073,0.288500011,0.289,1,2
p2,p3,Vertical,1.568201516,0.288500011,0.289,1,2
p2,p3,Sdist,51.77734923,0.288500011,0.289,1,2
p2,p3,Hz,1.644588695,0.288500011,0.289,1,2
p2,p3,Vertical,1.568200909,0.288500011,0.289,1,2
p2,p3,Sdist,51.77734923,0.288500011,0.289,1,2
p2,p3,Hz,1.64457943,0.288500011,0.289,1,2
p2,p3,Vertical,1.568205509,0.288500011,0.289,1,2
p2,p3,Sdist,51.77724923,0.288500011,0.289,1,2
p2,p3,Hz,1.644593061,0.288500011,0.289,1,2
p2,p3,Vertical,1.568202197,0.288500011,0.289,1,2
p2,p3,Sdist,51.77734923,0.288500011,0.289,1,2
p2,p3,Hz,1.644580631,0.288500011,0.289,1,2
p2,p3,Vertical,1.568195031,0.288500011,0.289,1,2
p2,p3,Sdist,51.77724923,0.288500011,0.289,1,2
p2,p3,Hz,1.644584927,0.288500011,0.289,1,2
p2,p3,Vertical,1.568197438,0.288500011,0.289,1,2
p2,p3,Sdist,51.77734923,0.288500011,0.289,1,2
p2,p3,Hz,1.644590588,0.288500011,0.289,1,2
p2,p3,Vertical,1.568195698,0.288500011,0.289,1,2
p2,p3,Sdist,51.77734923,0.288500011,0.289,1,2
p2,p3,Hz,1.644598742,0.288500011,0.289,1,2
p2,p3,Vertical,1.568205507,0.288500011,0.289,1,2
p2,p3,Sdist,51.77724923,0.288500011,0.289,1,2
p2,p3,Hz,1.644590884,0.288500011,0.289,1,2
p2,p3,Vertical,1.568189578,0.288500011,0.289,1,2
p2,p3,Sdist,51.77724923,0.288500011,0.289,1,2
p2,p3,Hz,1.644592734,0.288500011,0.289,1,2
p2,p3,Vertical,1.568182956,0.288500011,0.289,1,2
p2,p3,Sdist,51.77724923,0.288500011,0.289,1,2
p2,p3,Hz,1.644603424,0.288500011,0.289,1,2
p2,p3,Vertical,1.568204009,0.288500011,0.289,1,2
p2,p3,Sdist,51.77724923,0.288500011,0.289,1,2
p2,p3,Hz,1.64460005,0.288500011,0.289,1,2
p2,p3,Vertical,1.568204256,0.288500011,0.289,1,2
p2,p3,Sdist,51.77724923,0.288500011,0.289,1,2
p2,p3,Hz,1.644597982,0.288500011,0.289,1,2
p2,p3,Vertical,1.568200573,0.288500011,0.289,1,2
p2,p3,Sdist,51.77744923,0.288500011,0.289,1,2
p2,p4,Hz,1.883938024,0.288500011,0.289,1,3
p2,p4,Vertical,1.571651648,0.288500011,0.289,1,3
p2,p4,Sdist,69.45180016,0.288500011,0.289,1,3
