测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
p2,p1,Hz,0.17454496141020703,0.288500011,0.29,1,0
p2,p1,Vertical,1.568940508779586,0.288500011,0.29,1,0
p2,p1,Sdist,43.3789250206,0.288500011,0.29,1,0
p2,p1,Hz,0.17454828800000002,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689450822,0.288500011,0.29,1,0
p2,p1,Sdist,43.3788250204,0.288500011,0.29,1,0
p2,p1,Hz,0.17454044771020705,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689485237795866,0.288500011,0.29,1,0
p2,p1,Sdist,43.3786250198,0.288500011,0.29,1,0
p2,p3,Hz,1.6445886414,0.288500011,0.289,1,2
p2,p3,Vertical,1.5681844766000002,0.288500011,0.289,1,2
p2,p3,Sdist,51.7770492245,0.288500011,0.289,1,2
p2,p3,Hz,1.6445893994102074,0.288500011,0.29,1,2
p2,p3,Vertical,1.568209424379586,0.288500011,0.29,1,2
p2,p3,Sdist,51.7771492248,0.288500011,0.29,1,2
p2,p3,Hz,1.6446014691000004,0.288500011,0.289,1,2
p2,p3,Vertical,1.5681896059,0.288500011,0.289,1,2
p2,p3,Sdist,51.7772492251,0.288500011,0.289,1,2
p2,p3,Hz,1.6445950760102068,0.288500011,0.289,1,2
p2,p3,Vertical,1.568217966879586,0.288500011,0.289,1,2
p2,p3,Sdist,51.7772492251,0.288500011,0.289,1,2
p2,p3,Hz,1.6446047513000002,0.288500011,0.289,1,2
p2,p3,Vertical,1.5682062943,0.288500011,0.289,1,2
p2,p3,Sdist,51.7773492254,0.288500011,0.289,1,2
p2,p3,Hz,1.6445950732102066,0.288500011,0.289,1,2
p2,p3,Vertical,1.5682015161795864,0.288500011,0.289,1,2
p2,p3,Sdist,51.7773492254,0.288500011,0.289,1,2
p2,p3,Hz,1.6445886945000001,0.288500011,0.289,1,2
p2,p3,Vertical,1.5682009089000002,0.288500011,0.289,1,2
p2,p3,Sdist,51.7773492254,0.288500011,0.289,1,2
p2,p3,Hz,1.6445794297102074,0.288500011,0.289,1,2
p2,p3,Vertical,1.5682055093795864,0.288500011,0.289,1,2
p2,p3,Sdist,51.7772492251,0.288500011,0.289,1,2
p2,p3,Hz,1.6445930611000004,0.288500011,0.289,1,2
p2,p3,Vertical,1.5682021966000002,0.288500011,0.289,1,2
p2,p3,Sdist,51.7773492254,0.288500011,0.289,1,2
p2,p3,Hz,1.6445806311102071,0.288500011,0.289,1,2
p2,p3,Vertical,1.5681950305795862,0.288500011,0.289,1,2
p2,p3,Sdist,51.7772492251,0.288500011,0.289,1,2
p2,p3,Hz,1.6445849271,0.288500011,0.289,1,2
p2,p3,Vertical,1.5681974379,0.288500011,0.289,1,2
p2,p3,Sdist,51.7773492254,0.288500011,0.289,1,2
p2,p3,Hz,1.6445905877102067,0.288500011,0.289,1,2
p2,p3,Vertical,1.5681956979795864,0.288500011,0.289,1,2
p2,p3,Sdist,51.7773492254,0.288500011,0.289,1,2
p2,p3,Hz,1.6445987415,0.288500011,0.289,1,2
p2,p3,Vertical,1.5682055071,0.288500011,0.289,1,2
p2,p3,Sdist,51.7772492251,0.288500011,0.289,1,2
p2,p3,Hz,1.6445908844102075,0.288500011,0.289,1,2
p2,p3,Vertical,1.5681895775795862,0.288500011,0.289,1,2
